Bug,A or B,Type,Run,Correctness Condition,Correctness Consequence,Correctness Position,Correctness Cause,Correctness Change,Completeness Condition,Completeness Consequence,Completeness Position,Completeness Cause,Completeness Change,Complexity Condition,Complexity Consequence,Complexity Position,Complexity Cause,Complexity Change,Continuity Condition,Continuity Consequence,Continuity Position,Continuity Cause,Continuity Change,Consistency Condition,Consistency Consequence,Consistency Position,Consistency Cause,Consistency Change
,,H,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,
,B,G,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
,,G,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Chart_12,A,G,1,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
,,G,2,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
,,H,2,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
Chart_13,A,G,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
,,G,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
,,H,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Chart_5,A,G,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No
,,G,2,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
,,H,2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
Chart_6,A,G,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
,,G,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,H,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
Lang_1,A,G,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,G,2,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
,,H,2,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,
Lang_10,A,H,1,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,H,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,G,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,G,2,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,
Lang_15,A,G,1,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
,,G,2,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,H,2,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Lang_21,A,H,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,H,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,B,G,1,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No
,,G,2,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,
Lang_27,A,H,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
,,H,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,H,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,G,1,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,G,2,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,G,3,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
Lang_34,A,G,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,G,2,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
,,H,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,,,,,,,,,,
Lang_43,A,G,1,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
,,G,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,
,,G,3,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,B,H,1,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
,,H,2,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,H,3,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,,,,,,,,,,
Lang_51,A,G,1,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
,,G,2,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
,,H,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,
,,H,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Lang_57,A,H,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No
,,H,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,,,,,,,,,,
,B,G,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,G,2,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
Lang_63,A,G,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No
,,G,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No
,,H,2,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Math_2,A,H,1,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
,,H,2,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,
,B,G,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,G,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,,,,,,,,,,
Math_30,A,G,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
,,G,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,B,H,1,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No
,,H,2,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
Math_32,A,G,1,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No
,,G,2,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,
,,G,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No
,,H,2,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,,,,,,,,,,
,,H,3,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,
Math_34,A,G,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,G,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
,,H,2,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,H,3,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,,,,,,,,,,
Math_39,A,G,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
,,G,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,,,,,,,,,,
,B,H,1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No
,,H,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,
Math_40,A,G,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
,,G,2,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes
,,H,2,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Math_42,A,G,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes
,,G,2,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,
,B,H,1,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
,,H,2,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Math_49,A,G,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,G,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
,,H,2,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Math_5,A,G,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
,,G,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,H,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Math_50,A,G,1,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
,,G,2,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No
,,H,2,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,
Math_53,A,H,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
,,H,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,
,,H,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,
,B,G,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
,,G,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,
Math_56,A,G,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
,,G,2,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No
,,H,2,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,,H,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
Math_57,A,G,1,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
,,G,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,
,,G,3,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,
,B,H,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
,,H,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,
,,H,3,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,,,,,,,,,,
